sector,block,usage,area,plots_count,lat,lng,status
B,1,commercial,13669.19,7,24.17556,47.27167,available
B,2,commercial,10797.12,6,24.175,47.26972,reserved
B,3,commercial,6178.05,3,24.17472,47.26833,sold
B,4,residential,10177.28,15,24.175,47.27278,available
B,5,residential,6375,10,24.17361,47.27361,available
B,6,residential,6091.57,12,24.17278,47.27306,available
B,7,residential,5416.04,11,24.17333,47.27278,available
B,8,residential,5313.31,15,24.17278,47.27194,available
B,9,residential,6538.42,16,24.17222,47.27139,available
B,10,residential,5930.84,16,24.17278,47.27111,available
B,11,residential,4156.89,11,24.17389,47.2725,available
B,12,residential,6327.5,18,24.17361,47.27167,available
B,13,residential,7872.49,18,24.17444,47.27194,available
B,14,residential,6352.04,16,24.175,47.27167,available
B,15,residential,7179.65,17,24.17444,47.27083,available
B,16,residential,4887.96,8,24.17333,47.27056,available
B,17,residential,6019.52,10,24.17417,47.27028,available
B,18,residential,6690.15,17,24.17417,47.26917,available
B,19,residential,6206.13,15,24.17361,47.26944,available
B,20,residential,2970.58,8,24.17306,47.26972,available
B,21,commercial,4316.71,2,24.17139,47.27,available
B,22,residential,4281.43,12,24.17056,47.27472,available
B,23,residential,9087.49,26,24.16944,47.27528,available
B,24,residential,10248.16,24,24.17028,47.27361,available
B,25,residential,3360,8,24.16944,47.2725,available
B,26,residential,9500,27,24.16889,47.27222,available
B,27,residential,4200,12,24.16917,47.27278,available
B,28,residential,7140.12,20,24.16972,47.27389,available
B,29,residential,8540.12,24,24.16889,47.27417,available
B,30,residential,2800,8,24.16861,47.27306,available
B,31,residential,7140.13,20,24.16806,47.27333,available
B,32,residential,4200,12,24.16833,47.27417,available
B,33,residential,4402.88,11,24.16861,47.275,available
B,34,residential,4319.76,10,24.16833,47.27583,available
B,35,residential,10758.48,20,24.16861,47.27639,available
B,36,residential,8177.4,20,24.16778,47.27556,available
B,37,residential,13196.76,25,24.16722,47.27361,available
B,38,residential,12570.2,21,24.16722,47.27639,available
B,39,residential,4338.5,8,24.16694,47.2775,available
B,40,residential,7735.77,15,24.16583,47.27778,available
B,41,residential,9042.95,25,24.16611,47.27694,available
B,42,residential,5750,16,24.165,47.2775,available
B,43,residential,9042.94,25,24.16583,47.27639,available
B,44,residential,8205.59,21,24.16667,47.27389,available
B,45,residential,8622.46,23,24.16611,47.27556,available
B,46,residential,7000,20,24.16472,47.27639,available
B,47,residential,4000,10,24.16417,47.27583,available
B,48,residential,4090.12,10,24.16389,47.275,available
B,49,residential,5140.12,14,24.16472,47.27528,available
B,50,residential,5484.45,12,24.16556,47.27528,available
B,51,residential,6709.68,17,24.16611,47.27389,available
B,52,residential,4920.71,13,24.16528,47.27417,available
B,53,residential,4200,12,24.16444,47.27444,available
B,54,commercial,15877.21,5,24.16444,47.27778,available
B,55,commercial,4502.53,3,24.16361,47.27556,available
B,56,commercial,14455.97,4,24.16361,47.27417,available
B,57,commercial,7036.32,4,24.16556,47.27333,available
B,58,commercial,9835.9,5,24.1675,47.27222,available
B,59,commercial,16651,5,24.16972,47.27111,available
G,1,commercial,46960.99,5,24.17722,47.28194,available
G,2,commercial,10145.9,5,24.17806,47.27972,available
G,3,commercial,11131.9,7,24.17722,47.2775,available
G,4,commercial,9282.82,6,24.17694,47.27583,available
G,5,commercial,8593.96,5,24.17639,47.27417,available
G,6,residential,9321.33,17,24.17528,47.27389,available
G,7,residential,6838.89,12,24.17361,47.275,available
G,8,residential,6583.47,12,24.17389,47.27556,available
G,9,residential,7709.93,13,24.17389,47.27639,available
G,10,residential,10349.94,18,24.17417,47.27778,available
G,11,residential,10067.83,18,24.17472,47.27778,available
G,12,residential,5782.55,16,24.17472,47.27889,available
G,13,residential,9437.48,16,24.17472,47.28,available
G,14,residential,9240.46,17,24.17528,47.28,available
G,15,residential,11250,22,24.17556,47.27889,available
G,16,residential,12037.26,24,24.175,47.27667,available
G,17,residential,8904.04,12,24.17556,47.27472,available
G,18,residential,7859.91,13,24.17556,47.27556,available
G,19,residential,13787.06,23,24.17583,47.27722,available
G,20,residential,12878.75,23,24.17639,47.27694,available
G,21,residential,7859.6,13,24.17639,47.27861,available
G,22,residential,7859.56,13,24.17667,47.27917,available
G,23,residential,6199.75,16,24.17694,47.28,available
G,24,commercial,8421.6,5,24.17694,47.28056,available
G,25,commercial,11963.26,4,24.17528,47.28111,available
G,26,commercial,7192.99,3,24.1725,47.28222,available
G,27,commercial,16525.58,9,24.17056,47.28278,available
G,28,commercial,9674.27,5,24.16806,47.28361,available
G,29,commercial,15205.31,3,24.16667,47.28361,available
G,30,commercial,22169.91,7,24.16583,47.28139,available
G,31,residential,4745.45,9,24.16611,47.27889,available
G,32,residential,14223.46,23,24.16806,47.27806,available
G,33,residential,6551.97,12,24.16944,47.27722,available
G,34,residential,11880.96,19,24.17139,47.27806,available
G,35,residential,4250.96,7,24.17167,47.27917,available
G,36,residential,9600,16,24.17222,47.28056,available
G,37,residential,11135.91,18,24.17083,47.27889,available
G,38,residential,10787.19,18,24.17139,47.28056,available
G,39,residential,10000.12,28,24.17167,47.28167,available
G,40,residential,8761.28,22,24.17083,47.28056,available
G,41,residential,6023.14,14,24.16944,47.28,available
G,42,residential,9600,16,24.16889,47.27889,available
G,43,residential,4927.21,13,24.17028,47.2775,available
G,44,residential,5600,16,24.16944,47.27806,available
G,45,residential,12376.18,19,24.16972,47.27917,available
G,46,residential,11089.61,29,24.17028,47.28111,available
G,47,residential,8280.53,21,24.16889,47.28056,available
G,48,residential,6010.93,14,24.16889,47.28111,available
G,49,residential,7024.78,17,24.17,47.28194,available
G,50,residential,6300,18,24.16917,47.2825,available
G,51,residential,4302.14,12,24.16806,47.28278,available
G,52,residential,5085.18,14,24.16722,47.28278,available
G,53,residential,5600,16,24.16694,47.28194,available
G,54,residential,8227.94,22,24.1675,47.28194,available
G,55,residential,8764.7,24,24.16806,47.28167,available
G,56,residential,7569.75,21,24.16806,47.28028,available
G,57,residential,7699.99,22,24.16694,47.28083,available
G,58,residential,5707.47,16,24.16806,47.27944,available
G,59,residential,6300,18,24.16722,47.28,available
G,60,residential,6576.83,18,24.16778,47.27889,available
G,61,residential,2450,7,24.16667,47.27972,available
G,62,residential,5749.99,16,24.16611,47.28028,available
G,63,commercial,12990.54,3,24.16556,47.28417,available
G,64,commercial,9102.67,5,24.16333,47.285,available
G,65,commercial,4901.93,3,24.16167,47.28528,available
G,66,commercial,11423.42,3,24.16056,47.285,available
G,67,commercial,5989.93,2,24.16,47.28333,available
G,68,commercial,6200.29,4,24.16056,47.28222,available
G,69,commercial,10326.2,5,24.1625,47.28111,available
G,70,commercial,9369.95,2,24.16389,47.28028,available
G,71,commercial,8757.46,6,24.165,47.28167,available
G,72,commercial,4970.14,3,24.16556,47.28306,available
G,73,residential,10800,18,24.16472,47.28361,available
G,74,residential,8996.07,25,24.16472,47.2825,available
G,75,residential,8996.08,25,24.16417,47.28278,available
G,76,residential,8983.87,25,24.16361,47.28306,available
G,77,residential,10800,18,24.16361,47.28139,available
G,78,residential,6328.05,10,24.16333,47.28417,available
G,79,residential,8999.99,15,24.16278,47.2825,available
G,80,residential,6681.22,18,24.16139,47.28222,available
G,81,residential,10767.45,18,24.16222,47.28333,available
G,82,residential,9946.94,16,24.16167,47.28361,available
G,83,residential,11388.63,17,24.16111,47.28361,available
G,84,residential,5877.22,16,24.1625,47.28444,available
G,85,residential,4495.89,12,24.16139,47.28472,available
D,1,residential,8906.28,14,24.1725,47.28639,available
D,2,residential,6160.2,10,24.17167,47.28722,available
D,3,residential,8400,14,24.17083,47.28778,available
D,4,residential,7566.64,13,24.16972,47.28861,available
D,5,commercial,14321.67,7,24.16861,47.28861,available
D,6,commercial,7395.45,3,24.16778,47.28667,available
D,7,commercial,15897.84,5,24.16722,47.285,available
D,8,commercial,7577.24,4,24.16889,47.28417,available
D,9,commercial,15082.67,7,24.17056,47.28361,available
D,10,residential,9600,16,24.17194,47.28472,available
D,11,residential,6300,17,24.17167,47.28611,available
D,12,residential,7600.71,21,24.17139,47.28472,available
D,13,residential,6675.48,14,24.17111,47.28583,available
D,14,residential,7021.97,15,24.17056,47.28472,available
D,15,residential,6082.58,17,24.16944,47.28472,available
D,16,residential,4297.81,12,24.16861,47.285,available
D,17,residential,3616.4,7,24.17,47.28528,available
D,18,residential,7763.01,12,24.16944,47.28556,available
D,19,residential,7317.93,20,24.16889,47.28611,available
D,20,residential,6413.07,10,24.17,47.28667,available
D,21,residential,5289.56,8,24.16944,47.28722,available
D,22,residential,5377.97,14,24.17083,47.28694,available
D,23,residential,4948.26,14,24.17,47.2875,available
D,24,residential,5208.82,13,24.16917,47.28806,available
D,25,residential,7261.89,20,24.16861,47.28722,available
D,26,residential,7154.36,20,24.16806,47.28556,available
D,27,commercial,7735.63,3,24.16667,47.28694,available
D,28,residential,6597.65,11,24.16583,47.28833,available
D,29,residential,11984.82,20,24.16444,47.28861,available
D,30,residential,7199.37,12,24.16278,47.28917,available
D,31,commercial,8992.87,2,24.16194,47.28917,available
D,32,commercial,7745.23,3,24.16139,47.2875,available
D,33,commercial,14657.24,4,24.16167,47.28639,available
D,34,commercial,16989.24,8,24.16361,47.28583,available
D,35,commercial,14952.34,4,24.16583,47.28528,available
D,36,residential,5750.01,14,24.16583,47.2875,available
D,37,residential,7579.43,20,24.16583,47.28639,available
D,38,residential,4329.43,11,24.16556,47.28694,available
D,39,residential,5750,14,24.16472,47.28611,available
D,40,residential,7566.74,20,24.165,47.2875,available
D,41,residential,4900,14,24.16444,47.28778,available
D,42,residential,5629.43,16,24.16417,47.28694,available
D,43,residential,8036.08,20,24.16333,47.28833,available
D,44,residential,3914.72,11,24.16333,47.2875,available
D,45,residential,4329.43,12,24.16278,47.28778,available
D,46,residential,7579.44,20,24.16222,47.28833,available
D,47,residential,3986.08,11,24.16333,47.28667,available
D,48,residential,7000,20,24.16222,47.28694,available
